,Name,IP,H,H2,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,WPA,aLI,RE24,GameDate,interceptRow,ageGap,ages,targets
119205,guzmaju01,4.0,2,2,1,0,1,3,0,2.29,16,77,50,33,9,8,6,6,1,0,58,0.1,0.88,1.0,1992-08-30,1.0,1966-10-28,8154,0.0
41872,mcdowja01,6.2,4,4,3,2,5,3,1,4.16,29,137,80,47,12,21,10,11,5,0,54,0.038,0.84,0.5,1995-06-13,1.0,1966-01-16,9279,0.0
55159,vazquja01,7.0,5,5,2,2,1,7,0,2.57,28,98,65,37,13,15,4,15,4,0,65,0.082,1.11,1.9,2006-04-08,1.0,1976-07-25,9373,0.0
7411,maddugr01,7.0,7,7,2,2,1,3,2,2.45,28,78,52,34,2,16,17,6,4,0,57,0.232,0.98,1.7,1997-07-17,1.0,1966-04-14,9864,0.0
89851,harenda01,3.0,7,7,4,4,3,4,1,3.87,18,74,42,23,7,12,2,9,5,0,30,-0.284,1.09,-2.6,2015-09-13,1.0,1980-09-17,11041,0.0
102515,roarkta01,6.1,11,11,4,4,0,4,1,2.91,28,92,60,37,5,18,10,14,6,0,39,-0.307,1.12,-1.8,2014-08-31,1.0,1986-10-05,8805,0.0
39046,kennejo04,3.0,2,2,2,2,3,2,1,3.63,14,54,28,17,3,8,3,6,2,0,46,-0.034,0.89,-0.2,2004-06-04,1.0,1979-05-24,7899,0.0
77141,cobbal01,6.0,9,9,4,3,0,1,2,4.09,25,89,60,41,9,10,14,10,5,0,41,-0.1,0.99,-0.8,2016-09-08,1.0,1987-10-07,9127,0.0
10889,sutclri01,8.0,4,4,0,0,1,4,0,4.19,29,91,61,39,4,18,8,16,2,0,77,0.427,1.24,3.5,1992-06-05,1.0,1956-06-21,11346,0.0
79611,hillri01,1.1,7,7,7,7,2,1,0,7.0,13,50,31,16,3,12,4,6,2,0,11,-0.46,1.08,-6.5,2005-08-05,1.0,1980-03-11,8016,0.0
123971,lannajo01,5.0,7,7,5,4,0,3,2,5.23,22,83,51,32,5,14,10,9,5,0,38,-0.294,0.7,-2.6,2010-08-24,1.0,1984-09-27,8175,0.0
62674,scanlbo01,5.0,4,4,2,1,1,6,1,4.28,20,91,56,33,6,17,6,7,3,0,58,0.108,0.91,1.0,1994-06-10,1.0,1966-08-09,8784,0.0
65678,rodriwa01,5.0,7,7,3,3,0,4,0,3.58,22,99,59,40,8,11,9,9,3,0,45,-0.053,1.08,-0.7,2013-05-26,1.0,1979-01-18,10840,0.0
45630,glavito02,5.2,6,6,2,2,3,3,0,3.38,26,90,58,35,6,17,9,11,5,0,49,0.035,1.11,0.3,1995-05-03,1.0,1966-03-25,9185,0.0
106790,matzety01,7.0,8,8,2,2,2,7,1,5.14,28,90,56,33,9,14,12,7,7,0,58,0.202,1.3,0.9,2014-08-25,1.0,1990-10-19,7526,0.0
53168,pichahi01,6.0,9,9,2,2,1,1,0,4.15,27,96,58,37,4,17,12,13,7,0,46,0.107,1.32,1.4,1993-06-04,1.0,1969-08-22,7505,0.0
116209,helliri01,6.2,6,6,2,2,3,8,1,8.31,29,123,74,33,14,27,6,11,5,0,59,0.091,0.8,1.5,2001-04-22,1.0,1970-12-15,9578,0.0
76769,nunovi01,5.0,8,8,4,3,2,5,0,5.42,24,89,56,29,7,20,6,10,4,0,40,-0.18,1.32,-1.1,2014-07-02,1.0,1987-07-26,8500,0.0
120784,brazede01,6.0,5,5,5,5,3,3,2,7.5,23,70,44,25,9,10,3,12,6,0,42,-0.184,0.68,-1.6,2002-09-13,1.0,1980-06-16,7019,0.0
73261,sandesc01,1.2,7,7,6,4,1,2,1,5.57,13,58,35,24,4,7,2,8,3,0,22,-0.387,0.75,-5.5,1992-06-10,1.0,1956-07-22,11324,0.0
23907,daviswa01,7.1,4,4,0,0,3,4,0,5.5,28,101,61,35,7,19,8,13,4,0,71,0.471,1.32,3.5,2013-07-27,1.0,1985-09-07,8799,0.0
69431,pavanca01,5.2,8,8,4,4,1,7,1,5.1,26,93,65,38,12,15,6,12,4,0,43,0.096,0.57,-0.9,2009-10-04,1.0,1976-01-08,10647,0.0
293,finlech01,6.2,6,6,4,4,4,7,1,3.01,30,123,73,36,16,21,8,11,3,0,49,0.035,1.37,1.2,1998-08-18,1.0,1962-11-26,11274,0.0
2833,wilsocj01,5.0,9,9,6,6,0,4,2,3.7,24,99,64,36,6,22,7,13,5,0,29,-0.267,0.99,-3.8,2014-06-24,1.0,1980-11-18,10602,0.0
69504,jimenub01,8.0,8,8,1,1,2,4,0,1.15,29,110,63,42,2,19,12,11,7,0,64,0.35,0.9,2.9,2010-06-17,1.0,1984-01-22,8331,0.0
27520,zambrca01,7.0,5,5,1,1,3,3,0,3.5,31,110,63,38,6,19,15,9,1,0,63,0.313,1.71,2.7,2009-07-03,1.0,1981-06-01,8863,0.0
15652,cormirh01,8.0,4,4,1,1,3,5,1,3.19,29,105,62,36,10,16,13,8,3,0,72,0.235,0.74,3.7,1995-08-10,1.0,1967-04-23,8930,0.0
52490,gallayo01,4.2,8,8,2,2,2,4,1,3.42,24,87,48,29,5,14,9,9,1,0,42,0.115,0.98,0.1,2015-09-25,1.0,1986-02-27,9332,0.0
81828,darliro01,2.0,5,5,5,5,1,0,0,4.45,12,48,30,23,2,5,4,6,0,0,25,-0.293,1.11,-3.6,1992-06-27,1.0,1960-08-19,10052,0.0
112818,mechegi01,8.0,3,3,1,1,1,8,0,4.39,29,111,73,42,14,17,10,9,3,0,79,0.44,1.2,3.4,2006-09-01,1.0,1978-09-08,8830,0.0
39417,youngch03,5.0,7,7,1,1,2,1,0,3.57,22,99,62,43,5,14,5,14,6,0,48,0.124,1.23,1.5,2006-07-29,1.0,1979-05-25,8576,0.0
82333,boskish01,5.1,8,8,6,6,1,6,1,5.37,25,85,58,32,8,18,7,11,4,0,33,-0.192,0.48,-2.4,1995-09-20,1.0,1967-03-28,8988,0.0
27487,maholpa01,4.0,7,7,7,7,3,2,1,4.11,23,93,59,40,5,14,6,12,5,0,19,-0.604,1.19,-4.9,2009-05-25,1.0,1982-06-25,8493,0.0
23181,jakubch01,8.0,2,2,2,2,1,4,0,5.23,27,88,59,41,5,13,10,12,2,0,73,0.145,0.76,2.6,2009-04-28,1.0,1978-12-22,9577,0.0
46858,rueteki01,5.0,6,6,3,3,2,1,1,3.53,23,99,59,41,2,16,3,17,6,0,42,-0.141,0.99,-0.6,2002-08-16,1.0,1970-12-01,10005,0.0
77995,henrybu01,4.1,2,2,0,0,1,3,0,2.84,15,45,31,17,3,11,6,5,2,0,61,0.215,0.72,2.2,1995-08-15,1.0,1968-10-07,8474,0.0
74201,irabuhi01,7.0,2,2,0,0,2,4,0,3.07,26,102,63,41,8,14,10,9,2,0,75,0.243,0.63,3.8,1998-08-10,1.0,1969-05-05,9235,0.0
25088,morgami01,5.0,6,6,4,1,1,4,0,7.0,23,84,46,25,5,16,11,6,2,0,48,-0.193,0.85,-1.4,1994-04-17,1.0,1959-10-08,10895,0.0
76616,shielja02,7.0,5,5,1,1,2,5,0,3.12,26,102,64,37,12,15,12,7,3,0,66,0.299,1.12,2.4,2013-07-09,1.0,1981-12-20,9956,0.0
45175,simonal01,9.0,1,1,0,0,2,5,0,4.52,31,116,72,43,7,22,11,13,5,0,88,0.391,0.7,4.3,2015-08-20,1.0,1981-05-08,10819,0.0
34769,lillyte01,6.2,7,7,2,2,0,6,0,5.58,27,100,70,45,10,15,1,20,8,0,58,0.197,1.18,1.5,2001-05-27,1.0,1976-01-04,8013,0.0
113090,gallase01,6.0,4,4,1,0,2,3,0,3.97,24,112,64,42,9,13,11,8,4,0,63,0.191,1.05,2.2,2008-06-19,1.0,1985-12-30,7090,0.0
639,schoesc01,6.1,6,6,3,2,2,4,1,4.81,28,88,53,32,2,19,9,12,6,0,53,-0.019,0.87,0.2,2000-09-11,1.0,1973-10-02,8502,0.0
85034,cecilbr01,5.0,9,9,4,4,1,1,2,5.72,21,66,40,24,4,12,8,11,7,0,33,-0.214,0.87,-1.6,2012-08-03,1.0,1986-07-02,8233,0.0
7844,rueteki01,6.0,9,9,5,4,0,2,1,4.5,27,81,53,37,5,11,6,19,7,0,38,-0.233,0.49,-1.6,2000-05-17,1.0,1970-12-01,9296,0.0
15402,dopsojo01,4.0,5,5,4,4,2,1,2,4.96,18,72,38,19,5,14,9,6,1,0,35,-0.19,0.7,-2.2,1993-09-13,1.0,1963-07-14,9520,0.0
38394,jarvike01,5.0,10,10,5,5,2,3,1,6.44,23,75,47,27,7,13,7,11,8,0,28,-0.07,1.07,-1.0,2000-05-30,1.0,1969-08-01,9728,0.0
80746,santajo02,1.1,8,8,8,8,1,2,0,4.58,13,43,29,18,5,6,4,6,3,0,7,-0.4,1.12,-6.0,2012-08-11,1.0,1979-03-13,10545,0.0
43928,greinza01,7.0,6,6,1,1,2,3,1,1.29,29,99,60,40,7,13,7,17,5,0,62,0.354,1.2,2.8,2008-04-03,1.0,1983-10-21,7716,0.0
37036,carraca01,4.0,7,7,5,5,2,3,1,4.35,22,83,52,31,11,10,9,8,4,0,29,-0.243,1.08,-2.9,2015-06-07,1.0,1987-03-21,8903,0.0
7669,perezod01,5.2,5,5,3,2,2,7,0,3.7,26,109,67,34,9,24,7,10,5,0,54,0.047,0.92,-0.0,1999-05-02,1.0,1978-06-11,6592,0.0
93839,liriafr01,6.0,7,7,4,4,2,4,1,3.0,27,105,69,36,15,18,11,10,5,0,44,-0.203,0.74,-1.4,2014-04-05,1.0,1983-10-26,9606,0.0
3232,judenje01,7.0,6,6,3,3,3,6,1,3.78,29,114,74,44,7,23,7,12,2,0,56,0.079,1.38,0.6,1998-05-13,1.0,1971-01-19,8619,0.0
69427,manshje01,5.1,8,8,4,3,1,4,0,5.68,24,95,63,34,9,20,11,8,1,0,41,0.097,0.41,0.2,2009-10-02,1.0,1985-01-16,7797,0.0
119924,mendora01,7.2,6,6,2,2,4,4,0,4.6,34,131,82,53,13,16,12,13,2,0,59,0.072,0.74,1.9,1997-07-06,1.0,1972-06-15,7907,0.0
38059,karlsc01,6.0,7,7,3,1,3,2,1,3.36,28,112,69,46,5,18,14,9,3,0,49,0.059,0.74,0.3,1998-05-16,1.0,1971-08-09,8447,0.0
57899,leitema01,3.0,10,10,6,6,1,2,0,5.04,19,71,46,36,2,8,6,9,6,0,16,-0.472,0.98,-4.5,1996-07-11,1.0,1963-04-13,10491,0.0
84978,hollade01,5.1,7,7,3,3,2,2,2,5.1,25,92,57,29,5,23,7,14,5,0,42,-0.042,0.94,-1.1,2012-06-05,1.0,1986-10-09,8096,0.0
93910,degroja01,6.2,5,5,2,2,3,4,0,3.62,27,90,63,37,8,18,13,6,3,0,57,0.083,1.41,0.8,2014-06-27,1.0,1988-06-19,8211,0.0
12184,steinbl01,9.0,8,8,1,1,0,6,0,6.14,32,128,80,47,10,23,9,17,7,0,73,0.472,1.14,4.1,2000-08-18,1.0,1973-08-03,8533,0.0
58286,bohanbr01,8.0,5,5,0,0,2,10,0,2.65,28,107,71,31,20,20,14,1,1,0,80,0.528,1.32,3.9,1998-09-16,1.0,1968-08-01,9506,0.0
105500,lohseky01,5.0,10,10,5,5,2,3,0,5.63,27,98,63,39,5,19,8,14,7,0,28,-0.225,0.65,-2.3,2006-08-27,1.0,1978-10-04,8803,0.0
68538,garcifr03,6.0,7,7,5,4,0,9,3,3.35,26,105,67,38,14,15,10,6,2,0,49,-0.241,1.1,-1.6,2004-06-30,1.0,1976-10-06,8751,0.0
114718,tananfr01,5.2,7,7,5,5,1,6,0,3.66,24,102,64,28,12,24,4,13,4,0,40,-0.227,1.28,-1.3,1991-07-28,1.0,1953-07-03,12013,0.0
26246,bereja01,5.2,4,4,3,3,1,7,2,4.04,22,84,55,31,12,12,5,9,3,0,55,-0.08,0.85,-0.4,2001-07-27,1.0,1971-05-26,9521,0.0
609,washbja01,5.1,3,3,1,1,2,0,0,3.74,20,71,40,27,3,10,2,16,3,0,56,0.244,1.11,2.3,2000-08-07,1.0,1974-08-13,8200,0.0
76288,greinza01,2.0,5,5,7,7,3,0,1,5.63,16,56,32,20,0,12,6,6,3,0,15,-0.36,0.94,-5.9,2011-06-28,1.0,1983-10-21,8736,0.0
52173,feldmsc01,6.2,2,2,0,0,2,3,0,0.0,26,102,66,44,4,18,7,12,3,0,71,0.126,0.35,2.5,2014-04-01,1.0,1983-02-07,9828,0.0
22631,radkebr01,6.2,7,7,4,4,1,4,1,3.78,28,98,65,35,13,17,8,15,5,0,47,-0.268,1.38,-0.5,2005-08-16,1.0,1972-10-27,10351,0.0
76321,burnea.01,6.0,7,7,4,4,3,6,1,4.6,28,105,66,36,13,17,7,12,5,0,45,-0.194,1.47,-0.8,2011-08-09,1.0,1977-01-03,10917,0.0
59903,webbbr01,5.2,5,5,7,7,6,6,1,3.41,28,100,56,31,8,17,10,6,2,0,31,-0.129,1.12,-1.8,2008-09-06,1.0,1979-05-09,9256,0.0
32289,porceri01,5.0,9,9,4,4,2,1,1,5.03,24,83,49,30,5,14,10,11,7,0,32,-0.183,0.78,-1.5,2012-06-08,1.0,1988-12-27,7399,0.0
55874,lerewan01,6.0,3,3,1,1,1,4,1,3.63,21,92,60,39,6,15,6,10,1,0,65,0.235,0.91,2.0,2010-06-28,1.0,1982-10-28,8730,0.0
101495,matsuda01,7.1,5,5,2,2,3,6,0,2.63,29,99,61,37,10,14,9,11,5,0,63,0.214,0.92,1.6,2008-07-22,1.0,1980-09-13,8790,0.0
37849,valdeis01,7.0,5,5,2,2,1,6,0,3.38,27,91,59,36,6,17,10,10,5,0,64,0.289,1.09,2.5,1996-09-16,1.0,1973-08-21,7280,0.0
109748,davisdo02,5.2,6,6,3,3,4,3,0,5.01,26,105,58,38,5,15,5,14,6,0,44,-0.101,1.36,-0.6,2006-08-04,1.0,1975-09-21,9741,0.0
27302,zambrca01,7.0,8,8,2,2,1,5,0,3.04,30,102,68,39,9,20,11,13,4,0,57,0.09,0.41,1.8,2008-04-16,1.0,1981-06-01,8481,0.0
96090,suzukma01,4.1,3,3,4,3,7,4,1,5.82,22,92,49,27,8,14,5,6,0,0,40,-0.36,1.1,-2.5,2001-07-04,1.0,1975-05-31,8234,0.0
106151,zitoba01,5.2,1,1,1,0,3,5,0,4.02,21,82,49,24,9,16,9,3,1,0,67,0.082,1.22,1.1,2010-09-14,1.0,1978-05-13,10205,0.0
14257,perezma02,6.0,6,6,4,2,1,4,1,2.08,28,99,64,38,10,16,14,8,3,0,51,-0.148,1.3,-1.4,2013-07-09,1.0,1991-04-04,7026,0.0
112962,cabreda01,7.0,4,4,1,1,1,3,0,4.9,27,114,68,50,6,12,9,12,2,0,67,0.338,1.46,2.8,2007-08-03,1.0,1981-05-28,8262,0.0
40548,chacijh01,5.2,9,9,4,4,3,4,1,3.74,29,101,64,42,8,14,8,14,8,0,36,0.028,1.09,-0.1,2013-07-04,1.0,1988-01-07,8043,0.0
76779,whitlch01,6.0,7,7,0,0,0,6,0,4.6,22,75,53,24,14,15,12,4,1,0,64,0.285,1.2,2.4,2014-07-22,1.0,1989-06-14,7922,0.0
96246,mussimi01,6.1,4,4,2,2,4,7,0,4.51,27,104,62,30,15,17,8,7,3,0,60,0.263,1.3,2.3,2002-06-23,1.0,1968-12-08,10584,0.0
97076,moyerja01,6.2,8,8,4,4,3,6,1,5.01,31,122,72,39,6,27,11,11,4,0,45,0.04,0.74,-0.9,2007-07-21,1.0,1962-11-18,14097,0.0
96312,jensery01,4.0,4,4,0,0,4,0,0,4.74,19,95,53,32,5,16,5,10,3,0,50,0.204,1.47,1.8,2002-09-12,1.0,1975-09-17,8516,0.0
50136,desseel01,6.0,7,7,4,4,2,3,1,4.55,26,92,57,40,4,13,7,14,6,0,43,-0.184,0.63,-0.7,2001-06-22,1.0,1971-01-13,9605,0.0
12143,mussimi01,9.0,6,6,6,6,2,8,0,3.82,36,125,80,53,11,16,17,8,5,0,57,-0.186,1.04,-0.9,2000-07-13,1.0,1968-12-08,9970,0.0
66874,karsast01,6.0,4,4,3,2,2,5,1,5.2,23,97,58,34,6,18,3,13,5,0,57,0.151,0.79,0.2,1993-09-14,1.0,1972-03-24,6777,0.0
89180,hamelco01,5.0,6,6,3,3,4,5,0,2.62,24,88,52,30,11,11,5,10,1,0,44,-0.117,1.39,-0.7,2011-08-12,1.0,1983-12-27,8717,0.0
68969,santajo02,7.0,6,6,4,4,1,7,1,3.44,31,109,74,44,10,20,10,11,0,0,55,-0.09,0.83,-0.3,2007-04-24,1.0,1979-03-13,8872,0.0
22009,hernaor01,7.0,2,2,0,0,3,5,0,4.72,24,108,71,45,10,16,7,8,2,1,75,0.357,0.97,4.0,2001-09-18,1.0,1965-10-11,11340,0.0
12476,lidleco01,5.1,8,8,6,6,3,2,2,5.57,27,81,47,28,6,13,6,15,7,0,27,-0.43,1.04,-3.6,2002-07-14,1.0,1972-03-22,9565,0.0
66249,peralwi01,7.2,6,6,4,4,1,6,3,5.47,30,102,65,33,10,22,10,13,2,0,56,0.08,0.49,-0.1,2016-09-06,1.0,1989-05-08,8625,0.0
104956,stephga01,6.0,6,6,3,3,3,5,2,4.3,25,97,56,33,5,18,7,11,3,0,50,-0.07,0.61,0.1,2003-07-07,1.0,1972-01-02,9943,0.0
79490,heilmaa01,5.0,3,3,2,2,4,5,1,4.57,20,78,45,16,16,13,6,5,1,0,54,0.007,0.88,0.5,2004-09-25,1.0,1978-11-12,8163,0.0
23913,kurodhi01,7.0,9,9,3,3,1,4,0,2.45,29,116,73,44,14,15,14,10,4,0,50,-0.037,1.21,0.5,2013-08-06,1.0,1975-02-10,12145,0.0
14767,lopezre01,2.2,7,7,6,4,3,2,0,5.33,18,82,48,27,9,12,7,6,4,0,23,-0.305,0.95,-4.8,2016-08-23,1.0,,-92234,0.0
26494,woodke02,6.0,5,5,3,3,3,3,1,3.12,26,104,54,34,10,10,7,12,3,0,50,0.14,0.55,0.1,2003-04-17,1.0,1977-06-16,8152,0.0
1973,ortegan01,1.1,6,6,6,6,3,0,1,9.24,12,50,31,23,1,7,4,5,2,0,15,-0.317,0.94,-4.1,2009-05-06,1.0,1985-08-24,7478,0.0
64408,pattejo02,6.0,7,7,2,2,1,9,1,2.92,25,115,74,38,16,20,6,9,3,0,58,0.085,1.27,1.0,2005-07-14,1.0,1978-01-30,8663,0.0
26049,weaveje01,7.1,5,5,1,1,3,4,0,4.26,29,118,69,40,5,24,15,7,6,0,65,0.397,0.95,3.8,2000-06-03,1.0,1976-08-22,7504,0.0
83704,muldema01,7.0,9,9,4,4,3,8,0,2.9,31,107,70,38,12,20,12,8,6,0,48,-0.041,1.28,-0.1,2004-06-29,1.0,1977-08-05,8488,0.0
30458,desseel01,7.0,7,7,1,1,0,1,1,1.29,25,98,64,40,5,19,16,8,1,0,60,0.301,1.04,2.9,2001-04-05,1.0,1971-01-13,9538,0.0
19909,hentgpa01,6.2,8,8,5,5,3,4,1,6.26,28,115,67,40,9,18,8,13,6,0,39,-0.095,1.05,-1.2,1995-07-05,1.0,1968-11-13,8406,0.0
54851,rogerke01,6.2,7,7,4,4,3,1,1,4.26,29,96,58,38,2,18,11,13,3,0,42,-0.138,1.09,-0.4,2004-04-28,1.0,1964-11-10,12453,0.0
32539,woodtr01,7.0,6,6,0,0,0,7,0,3.05,28,100,70,45,9,16,5,15,9,0,72,0.414,1.1,3.1,2013-09-09,1.0,1987-02-06,8391,0.0
47474,wellski01,5.2,10,10,3,3,3,2,0,8.28,30,108,63,38,7,18,11,13,6,0,36,-0.101,0.8,-0.7,2006-07-22,1.0,1977-04-21,9230,0.0
49245,drabedo01,6.0,7,7,3,3,1,3,1,4.7,25,89,59,42,3,14,6,15,5,0,48,-0.054,0.79,-0.1,1995-09-22,1.0,1962-07-25,10464,0.0
42710,parrist01,4.2,7,7,6,6,2,4,1,5.54,23,91,49,33,3,13,5,12,5,0,28,-0.284,1.06,-2.5,2000-07-16,1.0,1967-12-17,10281,0.0
80349,olsensc01,5.1,9,9,2,2,1,2,0,3.51,24,82,55,35,9,11,6,15,7,0,43,0.129,1.23,0.9,2010-05-11,1.0,1984-01-12,8308,0.0
1580,snydeky01,5.0,9,9,3,3,1,3,1,6.23,25,85,55,28,7,20,8,13,4,0,39,-0.077,1.04,-0.2,2006-08-22,1.0,1977-09-09,9135,0.0
57103,barnebr01,6.0,5,5,3,3,3,2,0,6.32,25,109,64,39,9,16,13,7,4,0,49,-0.096,1.33,-0.3,1991-05-15,1.0,1967-03-25,7617,0.0
50547,redditi01,5.1,4,4,1,1,2,4,1,3.68,21,71,50,33,4,13,8,7,0,0,58,0.169,1.19,1.6,2003-09-25,1.0,1978-02-12,8083,0.0
30519,tapanke01,5.0,7,7,2,2,4,7,1,4.68,25,109,59,32,11,16,8,6,3,0,48,0.022,1.21,0.8,2001-06-28,1.0,1964-02-18,11789,0.0
44859,sanchan01,6.2,6,6,1,1,2,8,0,2.45,28,112,74,37,16,21,8,10,4,0,64,0.191,1.05,2.3,2013-08-21,1.0,1984-02-27,9303,0.0
23914,salech01,7.1,5,5,1,0,4,6,0,2.77,31,108,62,33,3,26,8,12,6,0,68,0.32,1.27,2.5,2013-08-06,1.0,1989-03-30,7685,0.0
11795,johnsdo04,5.1,6,6,2,2,2,3,0,3.72,24,78,45,29,5,11,12,6,4,0,49,0.1,0.8,0.8,1998-05-29,1.0,1967-12-19,9606,0.0
102934,wilsotr01,9.0,2,2,1,1,3,7,1,3.17,31,102,64,34,9,19,9,12,5,0,83,0.594,1.25,3.1,1990-08-04,1.0,1966-06-07,7623,0.0
103083,mcclepa01,7.0,2,2,0,0,3,2,0,0.0,24,94,53,29,7,17,13,6,1,0,72,0.331,1.03,3.1,1991-07-27,1.0,1966-02-03,8039,0.0
10396,lynnla01,5.0,7,7,1,1,0,2,0,3.03,20,79,52,39,5,8,11,7,4,0,51,0.099,1.05,1.2,2015-10-04,1.0,1987-05-12,8961,0.0
116078,ponsosi01,5.2,10,10,6,6,3,3,0,5.59,29,129,85,57,8,20,10,13,9,0,25,0.008,1.11,-0.9,2000-05-18,1.0,1976-11-02,7428,0.0
87641,batismi01,7.0,7,7,2,2,0,5,0,4.71,29,105,69,48,8,13,11,12,8,0,60,0.064,0.87,1.3,2002-05-12,1.0,1971-02-19,9853,0.0
101167,gabbaka01,5.1,8,8,3,2,2,3,0,3.38,24,99,59,31,8,20,12,7,3,0,43,0.022,1.3,0.3,2006-07-22,1.0,1982-04-08,7664,0.0
51028,haranaa01,7.2,8,8,4,4,0,5,2,3.91,29,94,66,42,15,9,8,16,3,0,52,0.236,0.97,1.1,2006-09-19,1.0,1978-05-09,8951,0.0
73632,hentgpa01,6.0,7,7,6,6,3,4,1,3.4,28,108,66,40,8,18,8,13,7,0,35,-0.467,1.15,-2.6,1994-08-11,1.0,1968-11-13,8123,0.0
21266,baldwja01,5.0,11,11,9,6,3,5,1,4.9,31,121,73,45,6,22,9,14,9,0,17,-0.674,1.23,-6.3,1997-05-25,1.0,1971-07-15,8161,0.0
97716,bumgama01,6.0,7,7,1,1,0,4,0,3.74,25,89,60,35,5,20,11,10,5,0,58,0.127,0.92,1.6,2011-07-14,1.0,1989-08-01,6926,0.0
92110,suppaje01,6.0,4,4,3,3,1,6,1,4.07,23,90,57,34,9,14,8,8,1,0,57,0.067,1.08,0.2,2003-06-05,1.0,1975-01-02,8969,0.0
52818,aquinlu01,7.0,6,6,6,6,2,3,1,7.82,29,100,62,43,4,15,7,16,3,0,42,-0.368,0.89,-2.5,1991-04-30,1.0,1964-05-19,8503,0.0
118026,kenneia01,5.2,10,10,6,6,1,4,1,4.32,28,95,65,41,8,16,9,14,4,0,28,-0.104,0.78,-3.0,2012-06-12,1.0,1984-12-19,8671,0.0
51151,oswalro01,6.0,6,6,0,0,4,4,0,3.42,27,108,68,36,12,20,9,10,6,0,60,0.287,1.19,3.2,2007-08-08,1.0,1977-08-29,9448,0.0
61032,woodal02,8.0,1,1,0,0,0,5,0,3.63,25,78,52,34,5,13,13,7,4,0,85,0.484,0.82,3.6,2015-09-16,1.0,1991-01-12,7787,0.0
2683,weaveje02,7.0,6,6,1,1,0,5,0,3.79,28,105,69,41,10,18,10,12,4,0,66,0.192,0.58,2.2,2013-07-02,1.0,1982-10-04,9701,0.0
91559,harnipe01,3.0,5,5,5,5,3,2,2,3.9,18,83,48,35,5,8,3,9,2,0,28,-0.339,1.08,-3.3,1999-09-19,1.0,1966-09-23,10410,0.0
87083,astacpe01,4.2,7,7,5,5,2,3,1,6.07,23,89,53,32,3,18,10,7,4,0,31,-0.28,1.16,-2.8,1998-08-22,1.0,1968-11-28,9382,0.0
102,clemoch01,2.2,5,5,5,4,6,5,1,6.75,18,87,45,20,6,19,1,6,5,0,29,-0.295,0.67,-4.1,1997-08-02,1.0,1972-10-31,7811,0.0
62389,hibbagr01,6.0,5,5,2,2,5,8,0,4.37,28,108,65,32,15,18,5,9,5,0,57,0.031,1.21,0.8,1992-07-24,1.0,1964-09-13,8792,0.0
61138,kazmisc01,6.0,3,3,0,0,0,10,0,4.37,22,100,61,27,12,22,5,6,2,0,76,0.236,0.76,2.8,2016-07-02,1.0,1984-01-24,10236,0.0
32726,marquja01,6.0,5,5,3,3,2,7,1,4.5,25,104,61,28,10,23,10,6,3,0,55,0.013,1.31,-0.2,2015-04-10,1.0,1978-08-21,11561,0.0
124655,eovalna01,7.0,8,8,2,2,3,5,0,4.37,30,105,67,38,18,11,17,5,3,0,55,0.03,1.0,1.2,2014-09-27,1.0,1990-02-13,7769,0.0
86959,glavito02,8.0,6,6,1,0,1,4,0,0.9,31,118,78,48,8,22,15,11,4,0,71,0.484,1.47,3.2,1998-04-12,1.0,1966-03-25,10113,0.0
8698,sheetbe01,7.0,8,8,2,2,1,4,0,3.41,29,108,69,42,8,19,15,9,4,0,56,0.143,0.94,1.6,2005-07-09,1.0,1978-07-18,8512,0.0
121958,buchhcl01,8.0,7,7,1,1,2,4,0,2.19,33,117,80,49,17,14,10,17,6,0,66,0.483,1.3,3.1,2010-04-27,1.0,1984-08-14,8110,0.0
25098,bankswi01,3.0,8,8,6,6,0,4,2,6.29,17,74,55,29,14,12,8,5,3,0,23,-0.326,0.92,-4.5,1994-05-02,1.0,1969-02-27,7944,0.0
48881,portuma01,3.1,2,2,1,1,2,1,0,2.85,13,43,24,15,1,8,6,4,3,0,51,0.148,0.82,1.4,1993-05-26,1.0,1962-10-30,9647,0.0
106260,pelfrmi01,6.0,8,8,2,2,2,5,0,4.55,28,95,63,43,3,17,7,14,8,0,51,-0.035,0.85,0.5,2011-07-10,1.0,1984-01-14,8673,0.0
62168,bosioch01,4.0,3,3,2,0,0,2,0,2.72,15,36,26,17,2,7,4,9,2,0,54,-0.046,0.89,-0.0,1991-05-10,1.0,1963-04-03,8868,0.0
53720,ruschgl01,5.0,10,10,6,4,3,4,0,2.7,27,100,63,38,4,21,13,7,4,0,28,-0.338,0.61,-3.2,1997-04-20,1.0,1974-11-07,7084,0.0
1868,harderi01,5.0,5,5,2,2,1,5,0,2.25,22,91,59,36,14,9,6,9,6,0,53,0.074,1.24,0.7,2008-07-01,1.0,1981-11-30,8389,0.0
119701,violafr01,5.0,6,6,4,4,6,4,0,12.15,27,107,58,31,10,17,8,9,5,0,37,-0.06,1.44,-0.4,1996-05-11,1.0,1960-04-19,11379,0.0
38786,starkde01,6.0,7,7,7,7,1,4,4,4.27,25,90,55,31,9,15,4,16,5,0,33,-0.405,0.82,-3.6,2002-08-11,1.0,1974-10-27,8769,0.0
41231,searcst01,3.2,5,5,3,3,2,2,0,4.99,16,64,37,24,4,8,7,5,4,0,39,-0.161,1.04,-1.4,1990-09-27,1.0,1964-06-04,8303,0.0
