,Name,IP,H,H2,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,WPA,aLI,RE24,GameDate,interceptRow,ageGap,ages,targets
17350,dinarle01,5.0,2,2,2,1,5,5,0,6.17,23,94,58,25,11,22,12,1,1,0,57,0.106,1.23,0.9,2006-05-07,1.0,1979-09-19,8404,1.0
75116,dominju01,8.0,5,5,1,1,1,5,1,2.63,29,101,67,40,10,17,12,11,2,0,72,0.27,0.7,3.4,2004-06-05,1.0,1980-05-18,7589,1.0
50087,doteloc01,5.0,7,7,5,5,5,5,0,6.19,25,87,54,28,11,15,7,8,6,0,33,-0.267,0.77,-2.2,2001-04-23,1.0,1973-11-25,8649,1.0
68896,downssc01,5.0,4,4,0,0,1,1,0,4.03,17,75,45,31,0,14,7,8,2,0,59,0.294,1.03,2.7,2006-08-12,1.0,1976-03-17,9594,1.0
58702,dreifda01,5.2,4,4,3,3,5,6,0,4.94,24,93,51,25,9,17,5,8,4,0,50,-0.095,1.39,-0.6,2001-06-24,1.0,1972-05-03,9196,1.0
43486,dresery01,6.1,10,10,6,5,0,2,1,6.04,27,81,53,36,4,13,16,9,1,0,33,-0.373,1.35,-1.8,2005-06-01,1.0,1976-04-05,9200,1.0
50822,dresery01,5.1,9,9,6,5,3,2,0,5.67,27,96,58,33,6,19,12,10,6,0,27,-0.189,0.7,-4.1,2005-08-11,1.0,1976-04-05,9262,1.0
50888,dresery01,4.0,5,5,4,1,4,3,0,2.25,20,81,48,27,6,15,8,5,2,0,41,-0.222,1.05,-1.8,2006-04-09,1.0,1976-04-05,9470,1.0
72549,drewti01,5.2,4,4,2,2,1,6,0,2.81,22,90,58,41,10,7,7,8,2,0,58,0.214,0.7,0.5,2002-09-29,1.0,1978-08-31,7598,1.0
116662,duchsju01,3.1,7,7,4,3,0,1,1,2.61,19,76,50,32,5,13,8,9,5,0,33,-0.22,1.24,-2.2,2003-09-14,1.0,1977-11-19,8147,1.0
83622,duchsju01,4.0,6,6,3,3,1,5,0,3.77,20,86,51,28,7,16,4,9,4,0,42,-0.126,1.2,-0.8,2003-09-20,1.0,1977-11-19,8152,1.0
84404,duchsju01,6.1,6,6,3,3,1,8,2,2.59,26,107,65,27,12,26,11,5,1,0,56,0.019,0.82,0.6,2008-08-13,1.0,1977-11-19,9698,1.0
17403,duckwbr01,6.0,5,5,1,1,1,5,0,4.78,24,106,62,38,6,18,8,10,3,0,62,0.205,0.92,2.5,2006-07-18,1.0,1976-01-23,9619,1.0
55326,duckwbr01,6.1,4,4,0,0,1,2,0,0.0,24,90,49,31,1,17,11,10,2,0,66,0.29,1.07,2.9,2007-04-08,1.0,1976-01-23,9847,1.0
